title,price,original_title,publisher,release_month,release_year,pages_num,pg,cover_type,publication_type,authors,overview,url
A Saga Dos X-Men Vol. 14,"R$39,90","Longshot (1985) 1-5, Special Edition X-Men (1983) 1",Marvel Comics,Julho,2023,144,12 anos,,Revistas Periódicas,"Ann Nocenti, Arthur Adams, Chris Claremont, Dave Cockrum","Longshot tem tudo - o couro, o visual, e tanta sorte que esse é na verdade seu poder mutante. Mas, com sua recente chegada ao planeta Terra colocando em questão sua identidade, ele descobre que tem uma longa jornada à sua frente para descobrir quem é verdadeiramente. Entre todo o caos que aguarda Longshot em seu caminho estão desde uma estreia em Hollywood e ameaças demoníacas até memórias restauradas - e o título de Homem Mais Procurado de Nova York, sem que ele sequer saiba porque. Com participações da incrível Mulher-Hulk, do lançador de teias mais querido da vizinhança e do Doutor Estranho, uma aventura imperdível pelas mãos de Ann Nocenti e Arthur Adams. Para além disso, celebre com os X-Men o décimo quarto aniversário de uma das mutantes mais queridas de todas: Kitty Pryde!",https://panini.com.br/a-saga-dos-x-men-vol-14
A Saga Do Homem-Aranha 04,"R$39,90","Peter Parker, Spectacular Spider-Man (1976) 19-53,  Marvel Team-Up (1972) 102",Marvel Comics,Julho,2023,144,,,Livros e Edições Especiais,"Bill Mantlo, Frank Springer, Jim Mooney, John Romita Jr., Mike W. Barr, Roger Stern","Sempre com dificuldades para lidar com as inúmeras demandas de sua vida pessoal e com as responsabilidades extra-curriculares que carrega sob o manto do Homem-Aranha, nessa edição Peter Parker tem seu primeiro encontro com o Contrabandista quando se envolve no mundo das gangues de Nova York. Os perigos das ruas de Nova York também vão cruzar seu caminho com o do Doutor Samson, e os dois vão precisar trabalhar juntos para garantir a segurança nas ruas da grande metrópole! Para além disso, seu aliado Tigre Branco retorna, e, quando ele é ferido, o amigão da vizinhança vai se ver forçado a enfrentar Gedeão e seus capangas. Como se não bastasse, uma invasão alienígena interrompe o jantar tranquilo do Homem-Aranha quando extraterrestres dão as caras procurando por um velho inimigo. Por fim, o escalador de paredes é forçado a enfrentar o ilusionista Mystério quando o vilão sequestra sua querida Tia May e seu noivo, além de Debra Whitman.",https://panini.com.br/a-saga-do-homem-aranha-04
A Saga Do Demolidor Vol. 13,"R$39,90","Daredevil (1998) 307-308, Nomad (1992) 4-5, Punisher War Journal (1988) 45-46",Marvel Comics,Julho,2023,144,12 anos,,Revistas Periódicas,"Chuck Dixon, Daniel G. Chichester, Fabian Nicieza, Pat Olliffe, Scott McDaniel","O Rei do Crime caiu - e seu império está sem um líder. Não são poucos os aspirantes a assumir o trono que antes era de Wilson Fisk, e, quando Matt Murdock e Foggy Nelson viajam para Las Vegas para se encontrarem com potenciais clientes de seu mais novo escritório de advocacia, podem estar, sem perceber, entrando direto na toca dos lobos. Para além disso, o Demolidor pode ser forçado a se aliar a um não muito querido conhecido - o Justiceiro! Será que seus esforços combinados são suficientes contra a ameaça do Serra Elétrica e sua gangue? Por fim, uma participação especial de Nômade e Capitão América: por que o Nômade saiu dos eixos? Jack Monroe vai conseguir as respostas de que precisa?",https://panini.com.br/a-saga-do-demolidor-vol-13
"Avante, Vingadores! (2022) Vol. 11","R$31,90","Avengers Forever (2021) 11, Hulk (2021) 11 Captain America Sentinel of Liberty (2022) 6, Captain America & Winter Soldier Special, Marvel’s Voices Legacy (2022) 1",Marvel Comics,Julho,2023,112,12 anos,,Revistas Periódicas,"Carmen Carnero, Collin Kelly, Jason Aaron, Jim Towe, Ryan Ottley","A maior combinação de Vingadores já vista foi reunida através do Multiverso, representado cada um dos pilares mais importantes de cada uma das infinitas encarnações do grupo. Mas para uma figura central, não existem variantes em qualquer canto da criação. Robbie Reyes é um Motoqueiro Fantasma como nenhum outro, e chegou a hora de sua última e mais poderosa forma ser revelada. Paralelamente, Bruce Banner não consegue ignorar sua intuição - que diz que algo muito errado está acontecendo por trás dos panos no Planeta Hulk. Quais as verdadeiras intenções daqueles que estão por trás daquela impressionante reunião de Golias Escarlates? Steve Rogers, por sua vez, não interpretou bem seu papel na batalha contra o Círculo Externo... e o preço será mais alto que ele imagina. Quais as origens do mais novo inimigo do Capitão América? E o que a próxima jogada do Círculo pode significar para o Soldado Invernal?",https://panini.com.br/avante-vingadores-2022-vol-11
Capitão América: O Soldado Invernal (Marvel Essenciais),"R$74,90","Captain America 8-9, 11-14",Marvel Comics,Julho,2023,152,12 anos,Capa dura,Livros e Edições Especiais,"Ed Brubaker, Michael Lark, Mike Perkins, Steve Epting","Desde o seu despertar após décadas em animação suspensa, Steve Rogers ficou devastado pela dor e remorso pela morte de Bucky Barnes, seu jovem ajudante durante a Segunda Guerra. Mas e se Bucky tivesse sobrevivido? E o que isso teria a ver com os relatos de um assassino letal conhecido como Soldado Invernal? Ed Brubaker ",https://panini.com.br/capitao-america-o-soldado-invernal-marvel-essenciais
Coleção Clássica Marvel Vol. 58 - Homem-Aranha 10,"R$36,90","Amazing Spider-Man (1963) 42-45, Amazing Spider-Man (1964) 3",Marvel Comics,Julho,2023,128,12 anos,,Revistas Periódicas,"John Romita Sr, Stan Lee",“ONDE RASTEJA O LAGARTO!”,https://panini.com.br/colecao-classica-marvel-vol-58-homem-aranha-10
Coleção Clássica Marvel Vol. 57 - Demolidor 05,"R$36,90",Daredevil (1963) 21-25,Marvel Comics,Julho,2023,128,12 anos,,Revistas Periódicas,"Frank Giacoia, Gene Colan, Stan Lee",“O MISTÉRIO DO ASSASSINO DA MEIA NOITE!”,https://panini.com.br/colecao-classica-marvel-vol-57-demolidor-05
Demolidor: Edição Definitiva Vol. 1,"R$205,90",Daredevil (1964) 1-21,Marvel Comics,Julho,2023,472,12 anos,Capa dura,Livros e Edições Especiais,"Bill Everett, Bob Powell, Gene Colan, Joe Orlando, John Romita Sr, Stan Lee, Wally Wood","Neste primeiro volume desta nova coleção você verá a trágica origem de um dos mais queridos super-heróis da Marvel: Demolidor, o Homem Sem Medo! Descubra (ou reviva) como o advogado cego Matthew Murdock se tornou o paladino da justiça mais famoso e temido da cidade de Nova York. Acompanhe o convívio com seu grande amigo e sócio Foggy Nelson e a bela secretária Karen Page. Veja o aprendizado deste incrível herói para atuar nas ruas e enfrentar os mais incomuns vilões, como Electro, Coruja, Homem Púrpura, Matador, Senhor do Medo, Enguia, Touro, Saqueador, Homens-Animais, Saqueador Mascarado, Gladiador, Homem-Sapo e outros! Vibre com as parcerias dele com o Homem-Aranha, Quarteto Fantástico e Ka-Zar, da Terra Selvagem!",https://panini.com.br/demolidor-edicao-definitiva-vol-1
Sandman Apresenta Vol. 5: As Fúrias E Petrefax,"R$59,90",The Sandman Presents: The Furies (2002) 1-4,DC Comics,Junho,2023,200,18 anos,,Livros e Edições Especiais,"John Bolton, Mike Carey","Desde a morte de seu filho, Daniel, a semi-humana e semifúria Lyta Hall tem vagado por um deserto de sexo sem sentido e luto desesperado. Mas uma estranha coincidência a coloca na companhia de uma trupe de teatro estadunidense de viagem para Atenas. Em vez de revisitar sua herança grega para ajudar a recuperar sua sanidade, Lyta se vê perdida nos poços fétidos do Hades e acaba se tornando um peão em um jogo mortal entre os mais poderosos deuses da mitologia e a inimitável ameaça tripla que são… As Fúrias. Escrito brilhantemente por Mike Carey (Lucífer, Hellblazer) e magistralmente desenhado em estilo de pintura por John Bolton (A Paixão do Arlequim, Os Livros da Magia), acompanhe a jornada de Lyta Hall em busca de vingança, redenção e um último encontro com seu filho, o novo Rei do Sonhar, que será tudo… menos o que ela espera.",https://panini.com.br/sandman-apresenta-vol-5-as-furias-e-petrefax
X-Men Vol. 60,"R$31,90",Immortal X-Men (2022) 7; X-Men Red (2022) 6-7; X-Men (2021) 14; Marvel Voices: Community (2021) (Shark Girl); Marvel Voices: Community (2022) (Shark Girl/Namor),Marvel Comics,Julho,2023,112,12 anos,,Revistas Periódicas,"Al Ewing, C.F. Villa, Gerry Duggan, Kieron Gillen, Lucas Werneck, Stefano Caselli","Será que o Ciclope agiu bem? Será que qualquer um dos X-Men agiu bem? Apenas um pode julgá-los, e o Dia do Juízo Final está aqui: chegou a hora do mais novo time de mutantes encarar a verdade sobre quem são e sobre o que fizeram. Enquanto isso, Arakko escolheu a paz em vez da guerra. Mas agora a guerra os escolheu, e o povo do planeta vermelho vai precisar defender com todas as forças sua terra arrasada, contra um inimigo ainda mais velho que suas antigas tradições. Serão eles capazes de fazer isso? Ou será que uma nova Arakko está prestes a nascer? Por fim, mesmo quando você é o coração dos X-Men, há dias em que vai querer arrancar os corações de seus inimigos. No dia do Juízo Final, que medidas extremas Noturno será forçado a tomar para defender aquilo que mais importa?",https://panini.com.br/x-men-vol-60
